,OBJECTID,STREET_NAM,street_name_URI,Divided,LTS,ExisFacil,Shape__Length,osm_type,osm_id,lat,lon
203,2833,Rutherford Trail Project,Rutherford-Trail-Project,no,LTS 1,SUP,26.668543781915698,,,,
204,440,Saint Alphonsus Street,Saint-Alphonsus-Street,no,LTS 3,BL,219.79853693355,way,301468440,42.3353816,-71.09982
205,282,Salem Street,Salem-Street,no,LTS 1,NW,42.4635199393664,way,63107745,42.3664741,-71.0546855
206,331,Saratoga Street,Saratoga-Street,no,LTS 3,BL,51.3601667370487,way,448610072,42.3863519,-71.0058908
207,2783,Saratoga Street Bridge,Saratoga-Street-Bridge,no,LTS 3,BL,117.89605204360501,way,448610072,42.3863519,-71.0058908
208,295,Seaport Boulevard,Seaport-Boulevard,no,LTS 4,SLM,147.71942012158001,way,427635744,42.3546936,-71.0513353
209,91,Seaver Street,Seaver-Street,yes,LTS 3,BFBL,246.932550352589,way,591278011,42.308054,-71.089603
210,2511,Silber Way Shared-Use Bridge,Silber-Way-Shared-Use-Bridge,no,LTS 1,WALK,163.693422960982,,,,
211,2552,Southbay Harbor Trail,Southbay-Harbor-Trail,no,LTS 1,SUP,595.5795464391381,,,,
212,2826,South Bay Harbor Trail,South-Bay-Harbor-Trail,no,LTS 1,SUP,478.38143081675696,way,660628019,42.3548658,-71.0442829
213,2934,South Campus Drive,South-Campus-Drive,no,LTS 1,SBL,197.65488615773899,,,,
214,1153,Southern Avenue,Southern-Avenue,no,LTS 2,TC,91.345612366929,way,8646236,42.290215,-71.074928
215,54,South Huntington Avenue,South-Huntington-Avenue,no,LTS 2,BL,97.38600525803619,way,485257980,42.3300757,-71.111291
216,82,South Street,South-Street,no,LTS 3,SLM,24.883146324295897,way,42512002,42.3398175,-71.1575632
217,2558,South Street Path,South-Street-Path,no,LTS 1,SUP,156.79989234278298,way,42512002,42.3398175,-71.1575632
218,2520,Southwest Corridor,Southwest-Corridor,no,LTS 1,SUC,1237.3066376800698,way,29863508,42.30237525,-71.1150222275858
219,2499,Staniford,Staniford,yes,LTS 3,BL,55.816768152232704,way,426456745,42.3637254,-71.0635134
220,2484,Staniford Street,Staniford-Street,no,LTS 1,SBL,137.349100722044,way,426456745,42.3637254,-71.0635134
221,214,St James Avenue,St-James-Avenue,no,LTS 4,SLM,74.8875235781912,way,591236019,42.349644,-71.0756182
222,2523,Stony Brook Path,Stony-Brook-Path,no,LTS 1,SUP,1834.1520797994,,,,
223,2588,Stony Brook Reservation Trail,Stony-Brook-Reservation-Trail,no,LTS 1,SUP,52.444288401437504,way,29859850,42.26093765,-71.1395156818709
224,1142,Stuart Street,Stuart-Street,no,LTS 3,BL,251.12597564346,way,591236027,42.347965,-71.0779367
225,1144,Sullivan Square,Sullivan-Square,no,LTS 4,BFBL,67.3346795663597,node,69505297,42.3843004,-71.0770317
226,2404,Summer Street,Summer-Street,no,LTS 1,SRd,109.402288346933,way,8648094,42.3446018,-71.0394271
227,267,Surface Artery,Surface-Artery,no,LTS 3,BL,20.3283917415763,node,1399796278,42.3504038,-71.0597395
228,2022,Talbot Avenue,Talbot-Avenue,no,LTS 3,BL,347.514846658992,way,570200605,42.2939592,-71.0847041
229,296,Taylor Street,Taylor-Street,no,LTS 1,SUP,217.499507633546,way,8647813,42.287054,-71.039882
230,2517,Tenean Beach Path,Tenean-Beach-Path,no,LTS 1,SUP,556.101665780516,,,,
231,1587,Tenean Street,Tenean-Street,no,LTS 2,NW-U,184.424210257719,way,8649941,42.2892813,-71.041955
232,460,Thornton Street,Thornton-Street,no,LTS 1,SLM,74.11045760778751,way,485257982,42.321747,-71.093239
